
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
8.05852,,Surface,1,Image 1,1,Class B,0,
14.9059,,Surface,1,Image 1,1,Class B,2,
15.0188,,Surface,1,Image 1,1,Class B,4,
41.0553,,Surface,1,Image 1,1,Class B,6,
21.4564,,Surface,1,Image 1,1,Class A,8,
