
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,ID,
64,,Surface,2,Image 1,1,Class B,0,
52,,Surface,2,Image 1,1,Class B,2,
38,,Surface,2,Image 1,1,Class B,4,
68,,Surface,2,Image 1,1,Class B,6,
57,,Surface,2,Image 1,1,Class A,8,
