
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,Set 1,ID,
19.4223,,Surface,3,Image 1,1,Class B,0,
15.3395,,Surface,3,Image 1,1,Class B,2,
12.6994,,Surface,3,Image 1,1,Class B,4,
18.4154,,Surface,3,Image 1,1,Class B,6,
48.1557,,Surface,3,Image 1,1,Class A,8,
