
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
24.024,,Surface,1,Image 1,1,Class B,0,
37.011,,Surface,1,Image 1,1,Class B,2,
16.944,,Surface,1,Image 1,1,Class B,4,
64.934,,Surface,1,Image 1,1,Class B,6,
40.984,,Surface,1,Image 1,1,Class A,8,
