
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,Set 1,ID,
95.016,,Surface,2,Image 1,1,Class B,0,
103.968,,Surface,2,Image 1,1,Class B,2,
122.976,,Surface,2,Image 1,1,Class B,4,
106.976,,Surface,2,Image 1,1,Class B,6,
106.038,,Surface,2,Image 1,1,Class A,8,
