
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
22170,,Surface,2,Image 1,1,Class B,0,
62005,,Surface,2,Image 1,1,Class B,2,
9.94328e+06,,Surface,2,Image 1,1,Class B,4,
28509,,Surface,2,Image 1,1,Class B,6,
20856,,Surface,2,Image 1,1,Class A,8,
