
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
89.013,,Surface,3,Image 1,1,Class B,0,
67.8763,,Surface,3,Image 1,1,Class B,2,
50.5718,,Surface,3,Image 1,1,Class B,4,
82.4769,,Surface,3,Image 1,1,Class B,6,
154.112,,Surface,3,Image 1,1,Class A,8,
