
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,Set 1,ID,
150,,Surface,3,Image 1,1,Class B,0,
116,,Surface,3,Image 1,1,Class B,2,
168,,Surface,3,Image 1,1,Class B,4,
132,,Surface,3,Image 1,1,Class B,6,
254,,Surface,3,Image 1,1,Class A,8,
