
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,Set 1,ID,
50,,Surface,3,Image 1,1,Class B,0,
27,,Surface,3,Image 1,1,Class B,2,
9,,Surface,3,Image 1,1,Class B,4,
39,,Surface,3,Image 1,1,Class B,6,
73,,Surface,3,Image 1,1,Class A,8,
