
Intensity Mean Ch=1 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,Set 1,ID,
25.8874,,Surface,1,Image 1,1,Class B,0,
38.007,,Surface,1,Image 1,1,Class B,2,
22.8946,,Surface,1,Image 1,1,Class B,4,
78.8731,,Surface,1,Image 1,1,Class B,6,
44.8832,,Surface,1,Image 1,1,Class A,8,
