
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
2.18665e+06,,Surface,2,Image 1,1,Class B,0,
7.09524e+06,,Surface,2,Image 1,1,Class B,2,
1.31509e+09,,Surface,2,Image 1,1,Class B,4,
3.23473e+06,,Surface,2,Image 1,1,Class B,6,
2.28104e+06,,Surface,2,Image 1,1,Class A,8,
