
Intensity Sum of Square Ch=3 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,Set 1,ID,
1.91742e+06,,Surface,3,Image 1,1,Class B,0,
2.77959e+06,,Surface,3,Image 1,1,Class B,2,
2.17193e+08,,Surface,3,Image 1,1,Class B,4,
1.85681e+06,,Surface,3,Image 1,1,Class B,6,
5.13567e+06,,Surface,3,Image 1,1,Class A,8,
