
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,Set 1,ID,
20562,,Surface,3,Image 1,1,Class B,0,
38961,,Surface,3,Image 1,1,Class B,2,
4.03998e+06,,Surface,3,Image 1,1,Class B,4,
21444,,Surface,3,Image 1,1,Class B,6,
30360,,Surface,3,Image 1,1,Class A,8,
