% Model:              geometry_test_remi_eugenie_sans_cellule_ter.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 7 2024, 16:26
% Dimension:          3
% Nodes:              508
% Expressions:        21
% Description:        Potentiel électrique
% Length unit:        µm
% x                       y                        z                        V (V) @ freq=1000                                 V (V) @ freq=1258.9                               V (V) @ freq=1584.9                               V (V) @ freq=1995.3                               V (V) @ freq=2511.9                               V (V) @ freq=3162.3                               V (V) @ freq=3981.1                               V (V) @ freq=5011.9                               V (V) @ freq=6309.6                               V (V) @ freq=7943.3                               V (V) @ freq=10000                                V (V) @ freq=12589                                V (V) @ freq=15849                                V (V) @ freq=19953                                V (V) @ freq=25119                                V (V) @ freq=31623                                V (V) @ freq=39811                                V (V) @ freq=50119                                V (V) @ freq=63096                                V (V) @ freq=79433                                V (V) @ freq=1E5
-101.75844460604773       13.667660010041732       -4.440892098500626E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-99.99999999999999        26.240662531751624       -1.3322676295501878E-15  0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-99.99999999999997        13.667660010041734       -2.220446049250313E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-99.99999999999999        -2.7735536104495138      0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-99.99999999999999        9.120329224321802        -4.440892098500626E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-109.09080146657983       11.24185042146226        -2.220446049250313E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-109.99999999999999       11.24185042146226        0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-100                      11.241850421462274       -2.220446049250313E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-99.2205210549012         -13.97640305968883       2.7755575615628914E-16   9.743488089705872E-5                              9.743488089705853E-5                              9.743488089705852E-5                              9.74348808970589E-5                               9.743488089705894E-5                              9.743488089705847E-5                              9.743488089705903E-5                              9.743488089705878E-5                              9.743488089705897E-5                              9.743488089705882E-5                              9.743488089705908E-5                              9.743488089705852E-5                              9.743488089705844E-5                              9.743488089705872E-5                              9.743488089705838E-5                              9.743488089705868E-5                              9.743488089705826E-5                              9.743488089705897E-5                              9.743488089705903E-5                              9.743488089705864E-5                              9.743488089705806E-5
-87.35142123423388        -22.945862890415953      3.885780586188048E-16    0.0015810725522083428                             0.0015810725522083392                             0.0015810725522083385                             0.0015810725522083452                             0.0015810725522083457                             0.001581072552208338                              0.0015810725522083474                             0.0015810725522083422                             0.0015810725522083463                             0.0015810725522083435                             0.0015810725522083472                             0.0015810725522083385                             0.0015810725522083394                             0.0015810725522083422                             0.001581072552208338                              0.0015810725522083435                             0.0015810725522083368                             0.0015810725522083491                             0.0015810725522083487                             0.0015810725522083424                             0.0015810725522083324
