% Model:              geometry_test_remi_eugenie_sans_cellule_ter.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 8 2024, 17:03
% Dimension:          3
% Nodes:              508
% Expressions:        21
% Description:        Potentiel électrique
% Length unit:        µm
% x                       y                        z                        V (V) @ freq=1000                                 V (V) @ freq=1258.9                               V (V) @ freq=1584.9                               V (V) @ freq=1995.3                               V (V) @ freq=2511.9                               V (V) @ freq=3162.3                               V (V) @ freq=3981.1                               V (V) @ freq=5011.9                               V (V) @ freq=6309.6                               V (V) @ freq=7943.3                               V (V) @ freq=10000                                V (V) @ freq=12589                                V (V) @ freq=15849                                V (V) @ freq=19953                                V (V) @ freq=25119                                V (V) @ freq=31623                                V (V) @ freq=39811                                V (V) @ freq=50119                                V (V) @ freq=63096                                V (V) @ freq=79433                                V (V) @ freq=1E5
-110                      -14.959453965509674      0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-100.56660362256318       -14.95945396550967       0                        1.179174480912652E-14+5.248034208344573E-16i      1.1791744809126533E-14+6.606883626850069E-16i     1.1791744809126549E-14+8.317573690608378E-16i     1.1791744809126688E-14+1.0471204883577486E-15i    1.1791744809126637E-14+1.3182465920038882E-15i    1.179174480912683E-14+1.6595741336847601E-15i     1.1791744809126943E-14+2.089280049652019E-15i     1.1791744809127223E-14+2.6302477468615063E-15i    1.1791744809127603E-14+3.3112857278383095E-15i    1.1791744809128217E-14+4.168661748486996E-15i     1.179174480912918E-14+5.248034208344603E-15i      1.1791744809130724E-14+6.606883626850093E-15i     1.179174480913316E-14+8.317573690608411E-15i      1.1791744809136946E-14+1.0471204883577479E-14i    1.179174480914308E-14+1.3182465920038903E-14i     1.179174480915283E-14+1.659574133684748E-14i      1.179174480916819E-14+2.0892800496520174E-14i     1.1791744809192529E-14+2.6302477468615167E-14i    1.179174480923114E-14+3.311285727838312E-14i      1.1791744809292352E-14+4.168661748486987E-14i     1.1791744809389307E-14+5.2480342083445747E-14i
-99.99999999999999        -14.215760518867844      -2.1094237467877974E-15  1.2499999297588614E-14+5.563249966811957E-16i     1.2499999297588628E-14+7.003716755382631E-16i     1.2499999297588644E-14+8.817157000359802E-16i     1.2499999297588794E-14+1.110014300753179E-15i     1.2499999297588738E-14+1.3974252106731107E-15i    1.2499999297588943E-14+1.7592541087982047E-15i    1.2499999297589062E-14+2.214769703369344E-15i     1.2499999297589358E-14+2.788229860843497E-15i     1.2499999297589762E-14+3.5101734257392007E-15i    1.2499999297590412E-14+4.419046525467669E-15i     1.2499999297591435E-14+5.563249966811989E-15i     1.2499999297593069E-14+7.003716755382657E-15i     1.2499999297595652E-14+8.817157000359837E-15i     1.2499999297599667E-14+1.1100143007531784E-14i    1.2499999297606169E-14+1.397425210673113E-14i     1.2499999297616505E-14+1.759254108798192E-14i     1.2499999297632787E-14+2.214769703369342E-14i     1.2499999297658587E-14+2.7882298608435078E-14i    1.2499999297699518E-14+3.5101734257392035E-14i    1.2499999297764407E-14+4.4190465254676597E-14i    1.2499999297867186E-14+5.5632499668119594E-14i
-99.99999999999997        -14.95945396550967       4.440892098500626E-16    1.2499999297690542E-14+5.563249966857321E-16i     1.2499999297690555E-14+7.003716755439741E-16i     1.249999929769057E-14+8.8171570004317E-16i        1.249999929769072E-14+1.1100143007622304E-15i     1.2499999297690665E-14+1.3974252106845054E-15i    1.249999929769087E-14+1.7592541088125502E-15i     1.249999929769099E-14+2.2147697033874038E-15i     1.2499999297691285E-14+2.7882298608662324E-15i    1.249999929769169E-14+3.5101734257678233E-15i     1.249999929769234E-14+4.419046525503703E-15i      1.2499999297693362E-14+5.563249966857353E-15i     1.2499999297694998E-14+7.003716755439766E-15i     1.2499999297697579E-14+8.817157000431734E-15i     1.2499999297701594E-14+1.1100143007622297E-14i    1.2499999297708096E-14+1.3974252106845078E-14i    1.2499999297718432E-14+1.7592541088125375E-14i    1.2499999297734714E-14+2.2147697033874016E-14i    1.2499999297760516E-14+2.7882298608662437E-14i    1.2499999297801445E-14+3.510173425767825E-14i     1.2499999297866334E-14+4.4190465255036936E-14i    1.2499999297969113E-14+5.5632499668573227E-14i
-101.1142880103184        -13.006752142296477      -1.6653345369377348E-16  1.1107139362905785E-14+4.943343693145783E-16i     1.1107139362905798E-14+6.223300994533655E-16i     1.1107139362905812E-14+7.834671767262345E-16i     1.1107139362905944E-14+9.863267380872886E-16i     1.1107139362905896E-14+1.2417117949101376E-15i    1.1107139362906077E-14+1.5632225327369268E-15i    1.1107139362906184E-14+1.967980570751742E-15i     1.1107139362906448E-14+2.4775407504365567E-15i    1.1107139362906806E-14+3.119039009480179E-15i     1.1107139362907383E-14+3.926637469411909E-15i     1.1107139362908292E-14+4.943343693145811E-15i     1.1107139362909744E-14+6.223300994533678E-15i     1.1107139362912039E-14+7.834671767262376E-15i     1.1107139362915606E-14+9.863267380872881E-15i     1.1107139362921384E-14+1.2417117949101396E-14i    1.1107139362930568E-14+1.5632225327369156E-14i    1.1107139362945036E-14+1.96798057075174E-14i      1.1107139362967962E-14+2.4775407504365663E-14i    1.1107139363004331E-14+3.1190390094801817E-14i    1.110713936306199E-14+3.9266374694119E-14i        1.1107139363153317E-14+4.943343693145785E-14i
-110                      -13.006752142296481      -1.6653345369377348E-16  0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-99.99999999999999        -13.006752142296477      -1.6653345369377348E-16  1.2499999297679446E-14+5.5632499668523825E-16i    1.249999929767946E-14+7.003716755433525E-16i      1.2499999297679476E-14+8.817157000423873E-16i     1.2499999297679626E-14+1.1100143007612451E-15i    1.2499999297679572E-14+1.397425210683265E-15i     1.2499999297679774E-14+1.7592541088109886E-15i    1.2499999297679894E-14+2.214769703385438E-15i     1.2499999297680191E-14+2.788229860863758E-15i     1.2499999297680595E-14+3.5101734257647077E-15i    1.2499999297681245E-14+4.419046525499781E-15i     1.2499999297682269E-14+5.563249966852415E-15i     1.24999992976839E-14+7.003716755433549E-15i       1.2499999297686483E-14+8.817157000423907E-15i     1.24999992976905E-14+1.1100143007612445E-14i      1.2499999297697E-14+1.3974252106832672E-14i       1.2499999297707336E-14+1.7592541088109762E-14i    1.2499999297723618E-14+2.2147697033854357E-14i    1.249999929774942E-14+2.7882298608637686E-14i     1.2499999297790349E-14+3.510173425764711E-14i     1.2499999297855239E-14+4.419046525499771E-14i     1.249999929795802E-14+5.563249966852385E-14i
-110                      40                       0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-105.12087904027135       26.240662531751617       -1.3322676295501878E-15  6.098900859183254E-15+2.714376952723988E-16i      6.098900859183255E-15+3.417198122972654E-16i      6.09890085918326E-15+4.3019975541456087E-16i      6.098900859183347E-15+5.415894042390253E-16i      6.09890085918332E-15+6.818206637549728E-16i       6.098900859183409E-15+8.583613598875075E-16i      6.098900859183467E-15+1.0806129284645725E-15i     6.098900859183606E-15+1.3604110759573651E-15i     6.098900859183805E-15+1.712656074008971E-15i      6.098900859184129E-15+2.1561062532335288E-15i     6.0989008591846314E-15+2.7143769527240127E-15i    6.098900859185417E-15+3.4171981229726613E-15i     6.098900859186671E-15+4.30199755414562E-15i       6.0989008591886514E-15+5.4158940423902625E-15i    6.098900859191816E-15+6.8182066375497466E-15i     6.0989008591968595E-15+8.583613598875002E-15i     6.098900859204806E-15+1.0806129284645706E-14i     6.098900859217388E-15+1.3604110759573668E-14i     6.098900859237361E-15+1.7126560740089753E-14i     6.098900859269018E-15+2.156106253233525E-14i      6.09890085931918E-15+2.714376952723998E-14i
-110                      26.24066253175161        -4.440892098500626E-16   0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
